Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish

xuiOptionsDynamicMesh,UI,XUI Dynamic Mesh,,,Dynamic Mesh,,Dynamisches Meshing,Malla Dinámica,Maille Dynamique,Rete Dinamica,動的メッシュ,다이나믹 메쉬,Siatki Dynamicznej,Malha Dinâmica,Динамическая сетка,Mesh Seçenekleri,动态网格,動態網格,Malla Dinámica

Video Options, Display Settings
xuiOptionsVideoResolutionTooltip2,UI,Xui Video Options,x,,Sets the screen resolution at which the game is displayed.\nPerformance Impact: [FF0000]Very High[-]\n,,"Auswahl der Bildschirmauflösung, in der das Spiel dargestellt wird.\nAuswirkung auf die Leistung: [FF0000]Sehr hoch[-]\n",Establece la resolución de pantalla a la que se muestra el juego.\nImpacto sobre el rendimiento: [FF0000]Muy alto[-]\n,Définit la résolution de l'écran au sein du jeu.\nImpact sur la performance : [FF0000]très élevée[-]\n,Imposta la risoluzione della schermata di gioco.\nImpatto sulle prestazioni: [FF0000]Molto alto[-]\n,ゲームを描画する画面解像度を設定します。\nパフォーマンスへの影響：[FF0000]極めて高[-]\n,게임이 표시되는 화면 해상도를 설정합니다.\n성능 영향: [FF0000]매우 높음[-]\n,"Konfiguruje rozdzielczość ekranu, w której uruchomiono grę.\nWpływ na wydajność: [FF0000]Bardzo wysokie[-]\n",Escolhe a resolução da tela na qual exibir o jogo.\nImpacto no desempenho: [FF0000]Muito alto[-]\n,Устанавливает разрешение экрана для игры.\nВлияние на производительность: [FF0000]очень высокое[-]\n,Oyunun gösterildiği ekran çözünürlüğünü belirler.\nPerformansa Etkisi: [FF0000]Çok Yüksek[-]\n,设置游戏显示的屏幕分辨率。\n性能影响：[FF0000]非常高[-]\n,設置遊戲顯示的螢幕解析度。\n性能影響：[FF0000]極高[-]\n,Establece la resolución de pantalla a la que se muestra el juego.\nImpacto sobre el rendimiento: [FF0000]Muy alto[-]\n
xuiOptionsVideoFullscreenTooltip2,UI,Xui Video Options,x,,Run the game in fullscreen or windowed mode.\nPerformance Impact: [FF9018]Medium[-]\n,,Spiel im Vollbild oder Fenster-Modus laufen lassen.\nAuswirkung auf die Leistung: [FF9018]Mittel[-]\n,Ejecuta el juego en pantalla completa o con ventanas.\nImpacto sobre el rendimiento: [FF9018]Medio[-]\n,Lancez le jeu en mode plein écran ou dans une fenêtre.\nImpact sur la performance : [FF9018]moyen[-]\n,Avvia il gioco a schermo intero o in modalità finestra.\nImpatto sulle prestazioni: [FF9018]Medio[-]\n,全画面またはウィンドウモードでゲームを実行します。\nパフォーマンスへの影響：[FF9018]中[-]\n,게임을 전체 화면 혹은 창 모드로 실행합니다.\n성능 영향: [FF9018]중간[-]\n,Uruchom grę w trybie pełnoekranowym lub w oknie.\nWpływ na wydajność: [FF9018]Średnie[-]\n,Rode o jogo em tela cheia ou em modo janela.\nImpacto no desempenho: [FF9018]Médio[-]\n,Запускает игру в полноэкранном или оконном режиме.\nВлияние на производительность: [FF9018]среднее[-]\n,Oyunu tam ekran ya da pencereli modda çalıştır.\nPerformansa Etkisi: [FF9018]Orta[-]\n,以全屏或窗口模式运行游戏。\n性能影响：[FF9018]中等[-]\n,在全螢幕或視窗模式下運行遊戲。\n性能影響：[FF9018]中等[-]\n,Ejecuta el juego en pantalla completa o con ventanas.\nImpacto sobre el rendimiento: [FF9018]Medio[-]\n
xuiOptionsVideoDyModeTooltip2,UI,Xui Video Options,x,,Dynamic resolution decreases the 3d rendering resolution as needed to increase FPS,,"Die dynamische Auflösung verringert nach Bedarf die 3D-Rendering-Auflösung, um die FPS zu erhöhen.",La resolución dinámica disminuye la resolución de renderizado 3D para aumentar los FPS cuando sea necesario.,La résolution dynamique diminue la résolution du rendu 3D pour augmenter le nombre d'IPS.,La risoluzione dinamica diminuisce la risoluzione del rendering 3D per aumentare i FPS,ダイナミック解像度はFPS向上のため、3Dレンダリングを抑制します,동적 해상도는 3D 렌더링 해상도를 줄이고 초당 프레임 속도(FPS)를 높입니다,"Tryb rozdzielczości dynamicznej zmniejsza w razie potrzeby rozdzielczość renderowania 3D, aby zwiększyć liczbę klatek na sekundę.",A resolução dinâmica reduz a resolução da renderização tridimensional conforme necessário para aumentar a taxa de quadros,Разрешение 3D-рендеринга динамически снижается для повышения FPS,"Dinamik çözünürlük, FPS'yi artırmak için gerektiğinde 3d işleme çözünürlüğünü azaltır",动态分辨率根据需要降低 3d 渲染的分辨率，提高 FPS,動態解析度根據需要減少3d呈現解析度以提高FPS(幀率),La resolución dinámica disminuye la resolución de renderizado 3D para aumentar los FPS cuando sea necesario.
xuiOptionsVideoDyMinFPSTooltip2,UI,Xui Video Options,x,,Dynamic resolution will scale down when below this FPS,,"Die dynamische Auflösung wird verringert, wenn dieser FPS-Wert unterschritten wird.",La resolución dinámica se reducirá a escala cuando los FPS sean menores que esta cifra,La résolution dynamique sera réduite lorsque le nombre d'IPS sera inférieur à cette valeur.,La risoluzione dinamica sarà ridimensionata sotto questi FPS,このFPS以下になった場合、ダイナミック解像度がスケールダウンします,이 FPS 아래로 내려가면 동적 해상도를 적용합니다,"Rozdzielczość zostanie zmniejszona, gdy liczba klatek na sekundę spadnie poniżej tego poziomu.",A resolução dinâmica reduzirá quando estiver abaixo desta taxa de quadros,Разрешение будет снижаться при падении FPS ниже этого значения,Bu FPS'nin altına düşüldüğün dinamik çözünürlüğün ölçeği azaltılır,低于该 FPS 时，动态分辨率会下调,當低於這個FPS時，動態解析度會向下調整,La resolución dinámica se reducirá a escala cuando los FPS sean menores que esta cifra
xuiOptionsVideoDyScaleTooltip2,UI,Xui Video Options,x,,Dynamic resolution scaling factor if you want a fixed amount of down scaling,,"Skalierungsfaktor der dynamischen Auflösung, wenn du die Auflösung um einen festen Wert verringern möchtest.",Factor de resolución dinámica a escala si deseas una cantidad fija de reducción a escala.,"Le facteur de l'échelle de la résolution dynamique, si vous désirez une réduction fixe de l'échelle.",Fattore di scala della risoluzione dinamica se si necessita di un ridimensionamento fisso,ダウンスケールで数値を固定したい場合のダイナミック解像度スケール因子,고정된 값 만큼 스케일을 낮추고 싶을 때 적용하는 동적 해상도 스케일 값입니다,Współczynnik skalowania rozdzielczości dynamicznej. Pozwala mieć stałą wartość pomniejszania.,Fator de escala de resolução dinâmica se você deseja uma quantidade fixa de escala reduzida,Фиксированный коэффициент масштабирования в режиме динамического разрешения,Sabit miktarda ölçek azaltma istiyorsan kullanabileceğin dinamik çözünürlük ölçeklendirme çarpanı,如果想要固定量的下调，可设定动态分辨率缩放系数,動態解析度縮放因子，如果希望有固定數量的向下縮放,Factor de resolución dinámica a escala si deseas una cantidad fija de reducción a escala.
xuiOptionsVideoVSyncTooltip2,UI,Xui Video Options,x,,Combats screen tearing by synchronizing the game to the monitor's refresh rate.\nPerformance Impact: [2B7C12]Low[-]\n,,"Verhindert Screen Tearing (das Zerreißen von Einzelbildern), indem die Bildwiederholfrequenz des Spiels mit der des Monitors synchronisiert wird.\nAuswirkung auf die Leistung: [2B7C12]Niedrig[-]\n",Combate la pantalla cortada sincronizando el juego con la frecuencia de actualización del monitor.\nImpacto sobre el rendimiento: [2B7C12]Baja[-]\n,Lutte contre la déchirure des images en synchronisant le jeu selon l'intervalle de rafraîchissement de l'écran.\nImpact sur la performance : [2B7C12]faible[-]\n,Impedisce gli strappi dello schermo sincronizzando il gioco alla frequenza di aggiornamento del monitor.\nImpatto sulle prestazioni: [2B7C12]Basso[-]\n,モニターのリフレッシュレートへゲームを同期させて、スクリーンティアリングを抑制します。\nパフォーマンスへの影響：[2B7C12]低[-]\n,모니터 재생률과 게임을 동기화해 화면 찢김을 방지합니다.\n성능 영향: [2B7C12]낮음[-]\n,Redukuje szarpanie obrazu poprzez synchronizację gry z częstotliwością odświeżania monitora.\nWpływ na wydajność: [2B7C12]Niskie[-]\n,Sincroniza o jogo com a taxa de atualização do monitor para prevenir o screen tearing.\nImpacto no desempenho: [2B7C12]Baixo[-]\n,Синхронизирует кадровую частоту игры с частотой вертикальной развертки монитора для избегания «рывков».\nВлияние на производительность: [2B7C12]низкое[-]\n,Oyunu monitörün yenileme hızıyla senkronize ederek ekrandaki yırtılma efektlerini azaltır.\nPerformansa Etkisi: [2B7C12]Düşük[-]\n,同步游戏的刷新率以避免战斗时的画面撕裂。\n性能影响：[2B7C12]低[-]\n,透過同步遊戲至顯示器的刷新率來對抗螢幕撕裂。\n性能影響：[2B7C12]低[-]\n,Combate la pantalla cortada sincronizando el juego con la frecuencia de actualización del monitor.\nImpacto sobre el rendimiento: [2B7C12]Baja[-]\n
